distance,x,y,theta
10,71,71,-2.389644215
10,115,77,24.830246450000004
10,20,76,-33.9324348
10,147,90,47.71593000000001
10,2,85,-47.352693281250005
20,107,46,16.485654720000003
20,37,44,-19.45008112
20,4,52,-37.57212648000001
20,151,62,42.738435080000016
20,119,50,23.051875000000006
30,105,33,15.264494287500003
30,137,41,31.514752907500004
30,75,29,0.0
30,7,37,-34.449521565
30,33,31,-21.484222357500002
40,1,31,-37.8531536775
40,45,21,-16.306739737500003
40,103,24,14.85356992
40,124,28,25.371059280000004
40,144,35,34.99657359375001
50,144,29,35.562173666250004
50,115,21,21.742319650000002
50,77,15,1.1593596875
50,47,16,-16.035223679999998
50,23,19,-28.811715855000003
60,12,18,-35.27305551
60,43,13,-19.03658244
60,75,12,0.0
60,96,14,12.32867139
60,140,24,34.4815016
70,148,24,38.72537872
70,118,15,24.92623328125
70,86,10,6.829803750000001
70,50,10,-15.52228125
70,18,14,-33.46353663
